indicator category,indicator name,indicator formula,description
Volume / money flow,cmf_20d,r['cmf_20d'] = (mfm * v).rolling(20).sum() / v.rolling(20).sum(),"Volume-weighted buying versus selling pressure; positive values favor accumulation, negative values distribution."
Volume / anomaly,volume_z_20d,r['volume_z_20d'] = (v - volume_mean_20d) / (volume_std_20d + eps),How unusual current volume is versus recent activity; positive extremes identify volume surges.
Volume / directional flow,obv_flow_20d_norm,"r['obv_flow_20d_norm'] = rolling_signed_volume / rolling_total_volume.replace(0, np.nan)",Net up-close versus down-close volume share; positive readings indicate directional buying flow.
Oscillators,stoch_k,r['stoch_k'] = 100 * (c - lowest_low) / (highest_high - lowest_low + eps),Location of close within its 14-period range; high values are near the range high.
Oscillators,stoch_d,r['stoch_d'] = r['stoch_k'].rolling(3).mean(),Smoothed stochastic momentum; tracks changes in the %K range-position signal.
Mean reversion / standardization,price_zscore_20d,r['price_zscore_20d'] = (c - sma20) / (c.rolling(20).std() + eps),Standardized distance from 20-period mean; large absolute values show unusual price displacement.
Oscillators,rsi_14d,r['rsi_14d'] = 100 - (100 / (1 + avg_gain / (avg_loss + eps))),Bounded gain-versus-loss momentum; high readings show dominant recent gains and low readings losses.
Oscillators,cci_20d,r['cci_20d'] = (tp - ma_tp) / (0.015 * md + eps),Typical-price deviation from its norm; large absolute values show unusually strong directional movement.
Risk-adjusted performance,sharpe_20_ann_rf0,r['sharpe_20_ann_rf0'] = logret.rolling(20).mean() / (logret.rolling(20).std() + eps) * np.sqrt(252),Recent annualized return per unit of volatility; higher positive values indicate better risk-adjusted performance.
Drawdown risk,dd_20,r['dd_20'] = (c / c.rolling(20).max() - 1) * 100,Current percentage loss from the trailing high; increasingly negative values show a deeper drawdown.
Drawdown risk,ulcer_index,r['ulcer_index'] = np.sqrt((drawdown ** 2).rolling(14).mean()),Downside-pain measure: high values mean drawdowns have been deep and/or persistent.
Trend strength / ADX,plus_di,r['plus_di'] = plus_di,Positive directional movement relative to ATR; higher values show stronger upward directional pressure.
Trend strength / ADX,minus_di,r['minus_di'] = minus_di,Negative directional movement relative to ATR; higher values show stronger downward directional pressure.
Trend strength / ADX,adx,"r['adx'] = wilder(dx, 14)","Trend-strength measure independent of direction; high values imply a strong trend, low values a range-bound market."
Return distribution shape,skewness_60,r['skewness_60'] = logret.rolling(60).skew(),Return asymmetry; negative values indicate more pronounced downside-tail risk.
Return distribution shape,kurtosis_60,r['kurtosis_60'] = logret.rolling(60).kurt(),Return tail heaviness; high positive values indicate more outlier-prone returns.
